"Category","Overheads"
"Salary Expense",28.53
"Interest Expense ",0.28
"Marketing Expense",14.29
"Rental Expense",15.37
"Overflow Expense - Retail",0.3
"Overflow Expense - Warehouse",0.54
"Penalty Expense",2.95
"Depreciation Expense",20.77
"Maintenance Expense",7.43
"Shipping Expense",0.78
"Human Resource Expense",8.76
